
Date,Amount,Category,Sub Category,Payment Method,Description,Ref/Check No,Payee / Payer,Status,Receipt Picture,Account,Tag,Tax,Mileage
2017/07/14,-1.85,Food,Shop,Cash,White Coffee Polo and Butter Sharp Bread, ,Baker Talent,Uncleared, ,Wallet, , , 
2017/07/15,-12.50,Food,Hawker Centre/Coffee Shop,Cash,Prata and stuff, ,New Rezki Restaurant,Uncleared, ,Wallet, , , 
2017/07/15,-20.00,Church,Offering,Cash, , ,HOGC,Uncleared, ,Wallet, , , 
2017/07/19,-1.00,Food,Restaurant/Cafe,Cash,2 slices of bread, ,50 years bread,Uncleared, ,Wallet, , , 
2017/07/21,13.00,Income,Return Money,Cash,Baby Driver Movie x 1, ,Matthew,Uncleared, ,Wallet, , , 
2017/07/22,-10.00,Personal,Personal Care,Cash,Haircut, ,Okinawa Hair Salon,Uncleared, ,Wallet, , , 
2017/07/23,-30.00,Church,Offering,Cash, , ,HOGC,Uncleared, ,Wallet, , , 
2017/07/23,-2.50,Food,Hawker Centre/Coffee Shop,Cash,Wanton mee, ,Wanton mee,Uncleared, ,Wallet, , , 
2017/07/23,-10.00,Food,Restaurant/Cafe,Cash,stingray and stuff, ,Hong Chang Frog leg porridge,Uncleared, ,Wallet, , , 
2017/07/24,-10.10,Food,Shop,Cash,Durian Sago and Yam Sago, ,Ah Chew Dessert,Uncleared, ,Wallet, , , 
2017/07/24,-14.90,Food,Restaurant/Cafe,Cash,Tsukemen Set, ,Ramen Monster,Uncleared, ,Wallet, , , 
2017/07/24,100.00,Income,Account Transfer,Cash,Transfer:2017-07-24 13:03:48, ,POSB,Uncleared, ,Wallet, , , 
2017/07/25,-50.00,Food,Hawker Centre/Coffee Shop,Cash,Kopitiam card top up, ,Kopitiam,Uncleared, ,Wallet, , , 
2017/07/26,-3.30,Food,Hawker Centre/Coffee Shop,Cash,Mixed Veg, ,Taste Good,Uncleared, ,Wallet, , , 
2017/07/28,-1.20,Food,Shop,Cash,Shrimp floss bun, ,Mugiya,Uncleared, ,Wallet, , , 
2017/07/28,-3.90,Food,Restaurant/Cafe,Cash,Ebi Burger, ,MOS Burger,Uncleared, ,Wallet, , , 
2017/07/29,50.00,Income,Account Transfer,Cash,Transfer:2017-07-29 12:36:55, ,POSB,Uncleared, ,Wallet, , , 
2017/07/29,-35.00,Entertainment,Game,Cash,Final Fantasy XV PS4 game, ,Safetypin,Uncleared, ,Wallet, , , 
2017/07/29,-2.40,Food,Snack,Cash,6 spices bun and Pulut bun, ,I Love Yoo,Uncleared, ,Wallet, , , 
2017/07/29,-10.00,Church,Offering,Cash, , ,HOGC,Uncleared, ,Wallet, , , 
2017/07/31,-1.10,Food,Hawker Centre/Coffee Shop,Cash,Milo Can Drink, ,Canteen,Uncleared, ,Wallet, , , 
2017/07/31,-5.50,Other,Other,Cash,Cash Item, ,SAF E-Mart,Uncleared, ,Wallet, , , 
2017/07/31,2.00,Income,Return Money,Cash,Return for cash item, ,Vick,Uncleared, ,Wallet, , , 
2017/07/31,-0.80,Food,Drink,Cash,Melon Milk, ,Vending Machine,Uncleared, ,Wallet, , , 
2017/08/01,-1.00,Food,Drink,Cash,Teh, ,Canteen,Uncleared, ,Wallet, , , 
2017/08/01,-3.00,Food,Hawker Centre/Coffee Shop,Cash,Food, ,Canteen,Uncleared, ,Wallet, , , 
2017/08/01,-0.80,Food,Drink,Cash,Melon Milk, ,Vending Machine,Uncleared, ,Wallet, , , 
2017/08/02,-2.50,Food,Hawker Centre/Coffee Shop,Cash,Noodles and stuff, ,Canteen,Uncleared, ,Wallet, , , 
2017/08/02,-0.90,Food,Drink,Cash,Nanyang coffee, ,Vending Machine,Uncleared, ,Wallet, , , 
2017/08/03,-10.00,Food,Snack,Cash,Pizza, ,Stanford,Uncleared, ,Wallet, , , 
2017/08/03,-0.80,Food,Drink,Cash,Melon Milk, ,Vending Machine,Uncleared, ,Wallet, , , 
2017/08/03,-11.40,Food,Hawker Centre/Coffee Shop,Cash,Fish & Chip and Chicken Chop, ,Tropicana Canteen,Uncleared, ,Wallet, , , 
2017/08/04,20.00,Income,Return Money,Cash,Return money for Uber, ,Terence Lim,Uncleared, ,Wallet, , , 
2017/08/04,-0.80,Food,Drink,Cash,Melon Milk, ,Vending Machine,Uncleared, ,Wallet, , , 
2017/08/04,-2.40,Food,Hawker Centre/Coffee Shop,Cash,Kaya Toast, ,Ya Kun,Uncleared, ,Wallet, , , 
2017/08/04,-1.00,Food,Shop,Cash,Bread, ,Thousand Deli,Uncleared, ,Wallet, , , 
2017/08/05,-12.00,Church,Offering,Cash, , ,HOGC,Uncleared, ,Wallet, , , 
2017/08/06,-4.30,Other,Other,Cash,cup noodles and drinks, ,some minimart,Uncleared, ,Wallet, , , 
2017/08/07,-0.80,Food,Drink,Cash,Melon Milk, ,Vending Machine,Uncleared, ,Wallet, , , 
2017/08/07,-14.40,Food,Restaurant/Cafe,Cash,4 x chicken cutlet noodle with egg, ,HQ Armour,Uncleared, ,Wallet, , , 
2017/08/07,3.60,Income,Return Money,Cash,Cutlet noodle with egg, ,Yin Li,Uncleared, ,Wallet, , , 
2017/08/07,7.20,Income,Return Money,Cash,Cutlet noodle with egg x 2, ,John Chng,Uncleared, ,Wallet, , , 
2017/08/07,-5.50,Food,Hawker Centre/Coffee Shop,Cash,Honey Chicken Cutlet, ,Tropicana canteen,Uncleared, ,Wallet, , , 
2017/08/08,-0.50,Other,Other,Cash,Give him extra coins, ,Duane,Uncleared, ,Wallet, , , 
2017/08/10,-3.00,Food,Hawker Centre/Coffee Shop,Cash,Rice and stuff, ,Canteen,Uncleared, ,Wallet, , , 
2017/08/10,-2.70,Food,Hawker Centre/Coffee Shop,Cash,Noodles and stuff, ,V Heng,Uncleared, ,Wallet, , , 
2017/08/11,-4.10,Food,Drink,Cash,Cheese Guan Yin (M), ,LiHo,Uncleared, ,Wallet, , , 
2017/08/11,-0.80,Food,Drink,Cash,Melon Milk, ,Vending Machine,Uncleared, ,Wallet, , , 
2017/08/12,-7.50,Food,Shop,Cash,Inari sushi and stuff, ,Umisushi,Uncleared, ,Wallet, , , 
2017/08/13,3.20,Income,Return Money,Cash,Return for prata, ,Rachel,Uncleared, ,Wallet, , , 
2017/08/13,4.70,Income,Return Money,Cash,prata, ,Candice,Uncleared, ,Wallet, , , 
2017/08/13,5.00,Income,Return Money,Cash,prata, ,Grace,Uncleared, ,Wallet, , , 
2017/08/13,-2.40,Food,Shop,Cash,Salmon roll, ,Ichiban Bento,Uncleared, ,Wallet, , , 
2017/08/13,-15.00,Church,Offering,Cash, , ,HOGC,Uncleared, ,Wallet, , , 
2017/08/13,150.00,Income,Account Transfer,Cash,Transfer:2017-08-13 16:40:13, ,POSB,Uncleared, ,Wallet, , , 
2017/08/13,10.70,Income,Return Money,Cash,Return for murtabak, ,Su Ching,Uncleared, ,Wallet, , , 
2017/08/13,-34.00,Food,Hawker Centre/Coffee Shop,Cash,Prata and stuff, ,Marhaba Restaurant,Uncleared, ,Wallet, , , 
2017/08/14,-1.20,Food,Shop,Cash,Genie Bread, ,Mugiya,Uncleared, ,Wallet, , , 
2017/08/17,-3.00,Food,Hawker Centre/Coffee Shop,Cash,Mixed Veg, ,Food Loft,Uncleared, ,Wallet, , , 
2017/08/17,-2.40,Food,Drink,Cash,Nescafe and Milo can drink, ,Vending Machine,Uncleared, ,Wallet, , , 
2017/08/17,-11.00,Food,Hawker Centre/Coffee Shop,Cash,Horfun x 2, ,Coffee Shop,Uncleared, ,Wallet, , , 
2017/08/19,-20.00,Church,Offering,Cash, , ,HOGC,Uncleared, ,Wallet, , , 
2017/08/19,-5.00,Food,Hawker Centre/Coffee Shop,Cash,Laksa Yong Tau Foo, ,Food court,Uncleared, ,Wallet, , , 
2017/08/20,-14.50,Food,Restaurant/Cafe,Cash,Claypot noodle and stuff, ,Wayne,Uncleared, ,Wallet, , , 
2017/08/20,-6.90,Food,Restaurant/Cafe,Cash,Teriyaki chicken and fish rice, ,Cafe,Uncleared, ,Wallet, , , 
2017/08/23,8.00,Income, ,Cash,Hello Kitty Spatula, ,Carousell,Uncleared, ,Wallet, , , 
2017/08/23,-4.00,Food,Drink,Cash,Royal Milk Guan Yin with pearl, ,LiHo,Uncleared, ,Wallet, , , 
2017/08/25,-4.20,Food,Shop,Cash,Noodles and stuff, ,food,Uncleared, ,Wallet, , , 
2017/08/25,-2.80,Food,Hawker Centre/Coffee Shop,Cash,Nasi Lemal rice and stuff, ,Coffee shop,Uncleared, ,Wallet, , , 
2017/08/28,-3.70,Food,Hawker Centre/Coffee Shop,Cash,Mixed Veg, ,Coffee Shop,Uncleared, ,Wallet, , , 
2017/08/29,-5.50,Food,Hawker Centre/Coffee Shop,Cash,Sweet and sour fish fried rice and kopi, ,DHL Canteen,Uncleared, ,Wallet, , , 
2017/08/29,-9.80,Transport,Taxi/Private Car,Cash, , ,Taxi,Uncleared, ,Wallet, , , 
2017/08/29,-4.00,Food,Shop,Cash,Kelp bun and pork with long bean bun, ,Shan Dong Da Bao,Uncleared, ,Wallet, , , 
2017/08/30,-3.20,Food,Hawker Centre/Coffee Shop,Cash,Mixed veg, ,Coffee shop,Uncleared, ,Wallet, , , 
2017/08/30,200.00,Income,Account Transfer,Cash,Transfer:2017-08-31 22:55:18, ,POSB,Uncleared, ,Wallet, , , 
2017/08/31,-14.80,Food,Snack,Cash,Unagi Tamagoyaki and Black Sesame Cream Puff, ,Koki Tamagoyaki,Uncleared, ,Wallet, , , 
2017/08/31,-12.80,Food,Restaurant/Cafe,Cash,Tenderloin Katsu Don, ,Saboten,Uncleared, ,Wallet, , , 
2017/08/31,-30.00,Entertainment,Other,Cash,Yayoi Kusama, ,National Gallery,Uncleared, ,Wallet, , , 
2017/08/31,10.00,Income,Return Money,Cash,Return money for soup spoon, ,Priscilla,Uncleared, ,Wallet, , , 
2017/09/01,13.90,Income,Return Money,Cash,Return money from ubereats, ,Andrew,Uncleared, ,Wallet, , , 
2017/09/01,13.90,Income,Return Money,Cash,Return for Uber Eats, ,Kok Sin,Uncleared, ,Wallet, , , 
2017/09/02,-16.25,Food,Restaurant/Cafe,Cash,Nasi Lemak Burger and Buttermilk chicken burger, ,McDonalds,Uncleared, ,Wallet, , , 
2017/09/02,-20.00,Church,Offering,Cash, , ,HOGC,Uncleared, ,Wallet, , , 
2017/09/03,-3.00,Food,Hawker Centre/Coffee Shop,Cash,Fishball Minced Meat Noodle, ,Coffee Shop,Uncleared, ,Wallet, , , 
2017/09/04,-4.90,Food,Hawker Centre/Coffee Shop,Cash,BBQ Chicken set, ,Greenwich food centre,Uncleared, ,Wallet, , , 
2017/09/05,-3.00,Food,Hawker Centre/Coffee Shop,Cash,Mixed Veg, ,Greenwich Food Centre,Uncleared, ,Wallet, , , 
2017/09/06,-3.80,Food,Shop,Cash,Bread x 3, ,Crystal Jade,Uncleared, ,Wallet, , , 
2017/09/07,-3.40,Food,Hawker Centre/Coffee Shop,Cash,Mixed Veg, ,DHL Canteen,Uncleared, ,Wallet, , , 
2017/09/07,-1.40,Food,Hawker Centre/Coffee Shop,Cash,Ice Milo, ,DHL Canteen,Uncleared, ,Wallet, , , 
2017/09/08,-30.00,Food,Restaurant/Cafe,Cash,food x 2, ,D'good cafe,Uncleared, ,Wallet, , , 
2017/09/09,-12.00,Food,Restaurant/Cafe,Cash,Rendang Lion Mane Burger, ,Greendot,Uncleared, ,Wallet, , , 
2017/09/12,-4.00,Food,Hawker Centre/Coffee Shop,Cash,Pongteh set, ,timbre+,Uncleared, ,Wallet, , , 
2017/09/13,-3.00,Food,Hawker Centre/Coffee Shop,Cash,Mixed Veg, ,Timbre+,Uncleared, ,Wallet, , , 
2017/09/13,-1.20,Food,Drink,Cash,Teh peng, ,Timbre+,Uncleared, ,Wallet, , , 
2017/09/14,-1.50,Food,Hawker Centre/Coffee Shop,Cash,1.5L Water, ,Timbre+,Uncleared, ,Wallet, , , 
2017/09/14,-2.00,Food,Hawker Centre/Coffee Shop,Cash,some snacks, ,Timbre+,Uncleared, ,Wallet, , , 
2017/09/15,-4.50,Food,Hawker Centre/Coffee Shop,Cash,Fried rice and stuff, ,Timbre+,Uncleared, ,Wallet, , , 
2017/09/15,-2.50,Food,Shop,Cash,Salmon Tartar Onigiri, ,Ichiban Bento,Uncleared, ,Wallet, , , 
2017/09/15,-7.80,Food,Restaurant/Cafe,Cash,2pc Chickenjoy set, ,Jollibee,Uncleared, ,Wallet, , , 
2017/09/17,15.00,Income,Return Money,Cash,Return for Tim Ho Wan, ,Kang Feng,Uncleared, ,Wallet, , , 
2017/09/17,-1.20,Food,Drink,Cash,water bottle, ,some shop,Uncleared, ,Wallet, , , 
2017/09/17,-2.00,Food,Shop,Cash,Cereal Floss, ,Breadtalk,Uncleared, ,Wallet, , , 
2017/09/18,-5.00,Food,Hawker Centre/Coffee Shop,Cash,Prawn and pork ribs noodle, ,Timbre+,Uncleared, ,Wallet, , , 
2017/09/19,200.00,Income,Account Transfer,Cash,Transfer:2017-09-19 9:33:23 PM, ,POSB,Uncleared, ,Wallet, , , 
2017/09/20,-8.80,Food,Hawker Centre/Coffee Shop,Cash,Chicken bak kut teh set, ,Soon Huat Bak kut teh,Uncleared, ,Wallet, , , 
2017/09/20,-4.80,Food,Shop,Cash,X large chicken chop, ,5 little bears,Uncleared, ,Wallet, , , 
2017/09/21,-2.80,Food,Hawker Centre/Coffee Shop,Cash,Mixed veg, ,Timbre+,Uncleared, ,Wallet, , , 
2017/09/21,-1.00,Food,Hawker Centre/Coffee Shop,Cash, Soya bean milk, ,Timbre+,Uncleared, ,Wallet, , , 
2017/09/21,-2.50,Food,Shop,Cash,Nasi Lemak Set B, ,Cafe 2b,Uncleared, ,Wallet, , , 
2017/09/25,-18.85,Food,Restaurant/Cafe,Cash,Special Tonkotsu x 2, ,Hakata Ikkousha,Uncleared, ,Wallet, , , 
2017/09/25,8.85,Income,Return Money,Cash,Return for ramen, ,Priscilla,Uncleared, ,Wallet, , , 
2017/09/26,-3.00,Food,Hawker Centre/Coffee Shop,Cash,Soya sauce chicken noodle, ,Timbre+,Uncleared, ,Wallet, , , 
2017/09/27,-1.20,Food,Snack,Cash,Pork Floss bun, ,Crystal Jade My Bread,Uncleared, ,Wallet, , , 
2017/09/27,-4.00,Food,Shop,Cash,Nasi Lemak set C, ,Cafe 2b,Uncleared, ,Wallet, , , 
2017/09/27,-5.00,Food,Hawker Centre/Coffee Shop,Cash,Watercress with pork rib soup and brown rice, ,Timbre+,Uncleared, ,Wallet, , , 
2017/09/28,-1.20,Food,Hawker Centre/Coffee Shop,Cash,Teh Tarik Ice, ,Timbre+,Uncleared, ,Wallet, , , 
2017/09/28,1.00,Income,Return Money,Cash,Tray refund, ,Timbre+,Uncleared, ,Wallet, , , 
2017/09/28,-3.50,Food,Shop,Cash,Mixed veg, ,Food Box Station,Uncleared, ,Wallet, , , 
2017/09/28,-10.00,Church,Offering,Cash, , ,HOGC,Uncleared, ,Wallet, , , 
2017/09/29,-4.00,Food,Hawker Centre/Coffee Shop,Cash,Char Siew Wanton mee, ,Timbre+,Uncleared, ,Wallet, , , 
2017/10/01,-4.00,Food,Restaurant/Cafe,Cash,Sandwich and water, ,HOGC Cafe,Uncleared, ,Wallet, , , 
2017/10/01,-3.90,Food,Restaurant/Cafe,Cash,Sea Salt Nutella Tart, ,HOGC Cafe,Uncleared, ,Wallet, , , 
2017/10/02,-4.50,Food,Hawker Centre/Coffee Shop,Cash,Laksa Yong Tau Foo, ,Canteen at Galaxis,Uncleared, ,Wallet, , , 
2017/10/03,-3.50,Food,Hawker Centre/Coffee Shop,Cash,Fried Tong Hoon plus egg, ,Timbre+,Uncleared, ,Wallet, , , 
2017/10/03,-2.00,Food,Drink,Cash,Honeydew milk, ,Timbre+,Uncleared, ,Wallet, , , 
2017/10/04,-5.50,Food,Hawker Centre/Coffee Shop,Cash,Salted egg Indomie, ,Timbre+,Uncleared, ,Wallet, , , 
2017/10/05,-5.00,Food,Hawker Centre/Coffee Shop,Cash,Nasi Lemak Set D, ,Timbre+,Uncleared, ,Wallet, , , 
2017/10/07,-5.00,Food,Restaurant/Cafe,Cash,Murtabak, ,Mr Teh Tarik Express,Uncleared, ,Wallet, , , 
2017/10/07,-20.00,Church,Offering,Cash, , ,HOGC,Uncleared, ,Wallet, , , 
2017/10/09,-2.50,Food,Drink,Cash,Green apple carrot pineapple juice, ,Timbre+,Uncleared, ,Wallet, , , 
2017/10/09,-4.00,Food,Hawker Centre/Coffee Shop,Cash,Char Siew Wanton mee, ,Timbre+,Uncleared, ,Wallet, , , 
2017/10/10,-8.50,Food,Hawker Centre/Coffee Shop,Cash,Char Siew works, ,Char express,Uncleared, ,Wallet, , , 
2017/10/10,-1.10,Food,Drink,Cash,Kopi, ,Timbre+,Uncleared, ,Wallet, , , 
2017/10/11,-2.50,Food,Shop,Cash,Nasi Lemak Onigiri, ,7-eleven,Uncleared, ,Wallet, , , 
2017/10/11,-1.10,Food,Drink,Cash,Teh, ,Timbre+,Uncleared, ,Wallet, , , 
2017/10/11,-5.50,Food,Hawker Centre/Coffee Shop,Cash,Korean chicken soup, ,Food Centre,Uncleared, ,Wallet, , , 
2017/10/12,-3.50,Food,Hawker Centre/Coffee Shop,Cash,Mixed Veg, ,Food Centre,Uncleared, ,Wallet, , , 
2017/10/14,-6.50,Food,Hawker Centre/Coffee Shop,Cash,Dry Stir Fried Horfun with beef and Barley hot, ,Supper Club,Uncleared, ,Wallet, , , 
2017/10/14,-2.20,Food,Shop,Cash,Milk bar ice cream, ,Chateraise,Uncleared, ,Wallet, , , 
2017/10/15,100.00,Income,Account Transfer,Credit Card,Transfer:2017-10-15 20:06:08, ,POSB,Uncleared, ,Wallet, , , 
2017/10/16,-4.40,Food,Shop,Cash,Mixed noodles and stuff, ,The Cafe Lobby,Uncleared, ,Wallet, , , 
2017/10/16,-5.50,Food,Hawker Centre/Coffee Shop,Cash,Pad Thai Chicken, ,Food Centre,Uncleared, ,Wallet, , , 
2017/10/17,-6.00,Food,Shop,Cash,Boneless chicken rice with egg, ,Two Wings,Uncleared, ,Wallet, , , 
2017/10/19,-3.00,Food,Hawker Centre/Coffee Shop,Cash,Fried Bee Hoon, ,Timbre+,Uncleared, ,Wallet, , , 
